FIRST_NAME,LAST_NAME,CUSTOMER_ID,PRIVACY
Merissa,Lackey,4096,false
Herta,Musser,4095,true
Kristin,Mosier,4094,false
Tonie,Dupre,4093,false
Kazuko,Lantz,4092,true
Arnoldo,Sturgill,4091,true
Dorthea,Stacy,4090,false
Antone,Betts,4089,false
Vita,Gaskins,4088,false
Kimberlee,Liles,4087,false
Yuriko,Samples,4086,false
Twana,Greco,4085,false
Lurline,Napier,4084,false
Farrah,Ridley,4083,true
Lu,Sibley,4082,true
Mervin,Stclair,4081,true
Omega,Getz,4080,false
Verda,Nabors,4079,false
Shara,Peel,4078,false
Hannah,Tamayo,4077,true
Sherika,Hoppe,4076,false
Andree,Crow,4075,false
Sasha,Worthy,4074,false
Kermit,Sorensen,4073,true
Cathie,Sams,4072,false
Michel,Pittman,4071,false
Rossana,Heard,4070,false
Lieselotte,Autry,4069,false
Krysten,Mangum,4068,false
Clemmie,Kellogg,4067,false
Amee,Reeves,4066,false
Billy,New,4065,false
Lindsey,Ripley,4064,true
Corrie,Wallis,4063,true
Myong,Barlow,4062,false
Anamaria,Way,4061,false
Dorine,Acosta,4060,false
Pamela,Muhammad,4059,false
Valery,Trimble,4058,false
Jerrica,Culbertson,4057,false
Nichelle,Schuler,4056,true
Sage,Mayberry,4055,false
Mauricio,Santiago,4054,false
Antonietta,Clawson,4053,false
Zoraida,Kidd,4052,false
Yasmin,Randolph,4051,false
Reynalda,Isaacson,4050,false
Gisele,North,4049,true
Kamilah,Sutter,4048,false
Marketta,Oleary,4047,false
Jenelle,Blevins,4046,false
Tanja,Choi,4045,false
Maggie,Stinson,4044,false
Shela,Curry,4043,false
Arthur,Gallardo,4042,false
Elida,Dellinger,4041,false
Idell,Hamilton,4040,false
Leandra,Byrnes,4039,true
Clement,Aguilera,4038,false
Ria,Holmes,4037,false
Elijah,Tilton,4036,false
Sherill,Pike,4035,false
Justine,Hardman,4034,false
Roxy,Reyes,4033,false
Herbert,Lorenzo,4032,false
Antonia,Elliott,4031,false
Pat,Lewandowski,4030,false
Ollie,Malone,4029,false
Melodee,Siegel,4028,false
Jeniffer,Reaves,4027,false
Arnetta,Garza,4026,true
Ernestina,Croft,4025,false
Elijah,Keaton,4024,false
Ivonne,Solano,4023,false
Clarice,Monk,4022,false
Georgeann,Burt,4021,false
Berenice,Mccloskey,4020,false
Florance,Forbes,4019,true
Alaina,Clemens,4018,false
Torri,Goulet,4017,false
Shyla,Guevara,4016,false
Tula,Majors,4015,false
Gerry,Ledbetter,4014,false
Maxima,Bauer,4013,false
Annalisa,Desimone,4012,false
Ellsworth,Harlan,4011,false
Peggy,Jameson,4010,false
Nickolas,Hope,4009,false
Shan,Barela,4008,false
Shonna,Sullivan,4007,true
Willian,Briscoe,4006,false
Vernia,Curley,4005,false
Christiana,Dell,4004,true
Karine,Kohler,4003,false
Herma,Schweitzer,4002,true
Susanna,Ruffin,4001,false
Maragaret,Spear,4000,false
Tova,Calderon,3999,true
Delila,Cervantes,3998,false
Vernie,Justus,3997,false
Larry,Hook,3996,true
Sanda,Paige,3995,false
Elmo,Mueller,3994,true
Kitty,Neff,3993,false
Creola,Fries,3992,false
Sebastian,Cupp,3991,false
Bo,Hendrickson,3990,true
Ingrid,Bunnell,3989,true
Renata,Barnhart,3988,true
Whitney,Poindexter,3987,false
Marvis,Boudreaux,3986,true
Donnie,Waldrop,3985,true
Leighann,Rosas,3984,false
Merlene,Yi,3983,false
Lan,Hite,3982,true
Serina,Lundberg,3981,false
Ronnie,Logue,3980,true
Tamera,Kelly,3979,false
Joanna,Elam,3978,true
Rebecca,Hollins,3977,false
Patrina,Folse,3976,true
Sanora,Mcintyre,3975,false
Camilla,Gass,3974,false
Christy,Pappas,3973,false
Gigi,Breedlove,3972,false
Kristi,Lind,3971,false
Fay,Webb,3970,false
Robyn,Monk,3969,false
Enrique,Fanning,3968,true
Randolph,Shores,3967,false
Nada,Morrow,3966,false
Scottie,Pulliam,3965,false
Audry,Singer,3964,false
Laurel,Shuler,3963,false
Russell,Vandyke,3962,false
Wilton,Adair,3961,false
