FIRST_NAME,LAST_NAME,CUSTOMER_ID,PRIVACY
Chaya,Tamayo,1,false
Nikia,Segura,2,false
Steffanie,Justice,3,true
Skye,Guffey,4,false
Maranda,Hayden,5,false
Katharine,Walters,6,true
Gonzalo,Olivarez,7,false
Breann,Ramey,8,false
Patrick,Love,9,false
Ozella,Sampson,10,false
Edgar,Adair,11,false
Dee,Starnes,12,false
Pearly,Swartz,13,false
Dorris,Echevarria,14,false
Faviola,Pratt,15,false
Genna,Swafford,16,false
Jina,Zepeda,17,false
Tasha,Sauer,18,false
Kenneth,Pelletier,19,false
Brett,Billiot,20,false
Herlinda,Sims,21,false
Lorina,Roby,22,true
Han,Halcomb,23,false
Trina,Easter,24,false
Brittny,Thompson,25,false
Shakita,Couch,26,false
Sharika,Wong,27,false
Else,Bautista,28,true
Richie,Negron,29,false
Lorette,Ritter,30,true
Pamila,Hines,31,false
Lan,Regalado,32,true
Ora,Sullivan,33,false
Parker,Cho,34,false
Flavia,Bobo,35,false
Giselle,Canty,36,false
Annemarie,Addison,37,true
Rosalind,Eubanks,38,false
Loren,Steiner,39,false
Chong,Cowley,40,false
Karina,Mohr,41,true
Glynis,Mcfarlane,42,false
Nakia,Lusk,43,false
Evie,Brantley,44,false
Katrina,Tellez,45,true
Zack,Romero,46,true
Winifred,Mclaughlin,47,false
Naida,Duncan,48,false
Vernie,Berman,49,true
Grayce,Bauman,50,false
Deloras,Stamps,51,false
Jeanie,Loomis,52,false
Clarinda,Edgar,53,false
Cherlyn,Beauregard,54,false
Mariko,Bogan,55,false
Margit,Labbe,56,false
Tristan,Jacobson,57,false
Cythia,Seward,58,false
Danyell,Albers,59,false
Vivien,Cantrell,60,false
Elidia,Barksdale,61,true
Dollie,Chow,62,true
Yen,Roland,63,false
Hiroko,Peoples,64,false
